SecId,Equity_Holding,giant_percent,large_percent,mid_percent,small_percent,micro_percent
0P000133C4,37.64 Bil,0.77,22.47,37.54,21.84,13.58
0P000135VX,37.64 Bil,0.77,22.47,37.54,21.84,13.58
F0GBR04OZL,252.92 Bil,32.98,33.97,11.84,12.29,1.65
0P0000CNVX,252.92 Bil,32.98,33.97,11.84,12.29,1.65
0P0000GGNS,252.92 Bil,32.98,33.97,11.84,12.29,1.65
0P0000GGNQ,252.92 Bil,32.98,33.97,11.84,12.29,1.65
0P00008WHV,252.92 Bil,32.98,33.97,11.84,12.29,1.65
0P0000GGNR,252.92 Bil,32.98,33.97,11.84,12.29,1.65
F00000SD2S,252.92 Bil,32.98,33.97,11.84,12.29,1.65
0P00011NM6,252.92 Bil,32.98,33.97,11.84,12.29,1.65
0P00011NMA,252.92 Bil,32.98,33.97,11.84,12.29,1.65
F0000000L0,14.52 Bil,24.6,34.6,20.69,12.61,3.35
F00000WB24,45.99 Bil,50.66,39.09,8.82,0,0
F00000W9MQ,45.99 Bil,50.66,39.09,8.82,0,0
F00000W9MT,,48.03,39.11,10.45,0,0
F000002KUO,,43.14,26.05,21.73,6.54,0.08
F000011D64,5.58 Bil,0,24.59,60.81,14.05,0
F00000XQF3,27.05 Bil,15,75.83,5.98,0,0
F00000XQF7,27.05 Bil,15,75.83,5.98,0,0
F00000XQFA,27.05 Bil,15,75.83,5.98,0,0
F00000YUOJ,27.05 Bil,15,75.83,5.98,0,0
F0000118J4,28.62 Bil,36.86,34.42,22.91,1.81,0
F0000118J6,28.62 Bil,36.86,34.42,22.91,1.81,0
F0000118JH,28.62 Bil,36.86,34.42,22.91,1.81,0
F0000118JJ,28.62 Bil,36.86,34.42,22.91,1.81,0
F0000118JD,28.62 Bil,36.86,34.42,22.91,1.81,0
F0000118J8,28.62 Bil,36.86,34.42,22.91,1.81,0
F0000118JA,28.62 Bil,36.86,34.42,22.91,1.81,0
F0000118JM,28.62 Bil,36.86,34.42,22.91,1.81,0
F0000118JU,28.62 Bil,36.86,34.42,22.91,1.81,0
F0000118JS,28.62 Bil,36.86,34.42,22.91,1.81,0
F0GBR04CZP,46.58 Bil,42.81,46.17,7.68,0,0
0P0000H8EG,46.58 Bil,42.81,46.17,7.68,0,0
F0000022T9,46.58 Bil,42.81,46.17,7.68,0,0
0P0000SC09,46.58 Bil,42.81,46.17,7.68,0,0
F0000009KK,2.69 Bil,0,0,63.51,35.8,0
0P0000SC0A,2.69 Bil,0,0,63.51,35.8,0
F000002NYU,2.69 Bil,0,0,63.51,35.8,0
0P0001FSSP,2.69 Bil,0,0,63.51,35.8,0
