SecId,Style,Style_5_Min,Style_5_Max,Yield,Yield_5_Min,Yield_5_Max,Momentum,Momentum_5_Min,Momentum_5_Max,Quality,Quality_5_Min,Quality_5_Max,Volatility,Volatility_5_Min,Volatility_5_Max,Liquidity,Liquidity_5_Min,Liquidity_5_Max,Size,Size_5_Min,Size_5_Max
F000010UCJ,6.15,2.68,11.54,96.94,92.04,98.08,16.2,11.65,85.93,26.67,26.67,56.6,22.38,8.5,28.18,44.54,28.71,80.72,14.88,12.95,16.97
F000010UCU,6.15,2.68,11.54,96.94,92.04,98.08,16.2,11.65,85.93,26.67,26.67,56.6,22.38,8.5,28.18,44.54,28.71,80.72,14.88,12.95,16.97
F000010UD0,6.15,2.68,11.54,96.94,92.04,98.08,16.2,11.65,85.93,26.67,26.67,56.6,22.38,8.5,28.18,44.54,28.71,80.72,14.88,12.95,16.97
F0GBR04RS3,27.94,11.25,36.24,73.83,51.09,83.49,29.54,6.74,66.83,62.17,16.95,75.05,60.51,54.31,92.76,47.42,43.72,90.7,71.93,55.63,80.26
0P00000NA9,27.94,11.25,36.24,73.83,51.09,83.49,29.54,6.74,66.83,62.17,16.95,75.05,60.51,54.31,92.76,47.42,43.72,90.7,71.93,55.63,80.26
F0GBR04RS2,27.94,11.25,36.24,73.83,51.09,83.49,29.54,6.74,66.83,62.17,16.95,75.05,60.51,54.31,92.76,47.42,43.72,90.7,71.93,55.63,80.26
0P00000NA3,27.94,11.25,36.24,73.83,51.09,83.49,29.54,6.74,66.83,62.17,16.95,75.05,60.51,54.31,92.76,47.42,43.72,90.7,71.93,55.63,80.26
F00000OU8P,27.94,11.25,36.24,73.83,51.09,83.49,29.54,6.74,66.83,62.17,16.95,75.05,60.51,54.31,92.76,47.42,43.72,90.7,71.93,55.63,80.26
F0GBR04RS7,8.88,5.04,19.33,82.14,67.07,92.77,54.04,8.16,82.56,11.66,9.89,55.15,89.26,44.81,95.21,86.7,57.38,92.76,76.38,50.24,85.43
F0GBR04RS5,8.88,5.04,19.33,82.14,67.07,92.77,54.04,8.16,82.56,11.66,9.89,55.15,89.26,44.81,95.21,86.7,57.38,92.76,76.38,50.24,85.43
F00000OU8T,8.88,5.04,19.33,82.14,67.07,92.77,54.04,8.16,82.56,11.66,9.89,55.15,89.26,44.81,95.21,86.7,57.38,92.76,76.38,50.24,85.43
F0GBR0508Q,6.07,2.75,11.4,95.66,92.68,98.03,17.37,5.59,86.27,20.2,18.27,67.4,26.32,9.93,36.91,57.59,30.96,95.9,17.08,11.68,20.1
F00000PPN1,6.07,2.75,11.4,95.66,92.68,98.03,17.37,5.59,86.27,20.2,18.27,67.4,26.32,9.93,36.91,57.59,30.96,95.9,17.08,11.68,20.1
F0GBR06XFS,13.78,1,21.96,79.08,61.94,97.88,18.49,1,82.84,69.62,8.92,85.99,79.53,26.95,93.62,44.56,33.98,94.78,49.55,38.35,82.71
0P000015GT,13.78,1,21.96,79.08,61.94,97.88,18.49,1,82.84,69.62,8.92,85.99,79.53,26.95,93.62,44.56,33.98,94.78,49.55,38.35,82.71
F0GBR06XFQ,13.78,1,21.96,79.08,61.94,97.88,18.49,1,82.84,69.62,8.92,85.99,79.53,26.95,93.62,44.56,33.98,94.78,49.55,38.35,82.71
0P000015GS,13.78,1,21.96,79.08,61.94,97.88,18.49,1,82.84,69.62,8.92,85.99,79.53,26.95,93.62,44.56,33.98,94.78,49.55,38.35,82.71
F00000OXIF,13.78,1,21.96,79.08,61.94,97.88,18.49,1,82.84,69.62,8.92,85.99,79.53,26.95,93.62,44.56,33.98,94.78,49.55,38.35,82.71
