SecId,Equity_Holding,Other_Holding,Assets_in_top10_holdings_percent,Reported_turnover_percent,Top3_sector_percent,Top5_sector_percent
F0GBR04AG0,49,228,\u2014,16.34,46.97,72.25
F0GBR04AG3,49,228,\u2014,16.34,46.97,72.25
F00000ZVQ2,49,228,\u2014,16.34,46.97,72.25
F0GBR054AO,49,228,\u2014,16.34,46.97,72.25
F0000109DK,49,228,\u2014,16.34,46.97,72.25
F00000M84R,24,21,\u2014,177.86,69.86,94.67
F00000M84S,24,21,\u2014,177.86,69.86,94.67
F00000YR7U,24,21,\u2014,177.86,69.86,94.67
F00000YR7V,24,21,\u2014,177.86,69.86,94.67
F00000M84T,24,21,\u2014,177.86,69.86,94.67
F00000QKXR,24,21,\u2014,177.86,69.86,94.67
F00000YR7T,24,21,\u2014,177.86,69.86,94.67
F000000JYW,184,93,\u2014,15.4,47.31,69.78
F000000JZ2,184,93,\u2014,15.4,47.31,69.78
F000000JZ4,184,93,\u2014,15.4,47.31,69.78
F000000JZ3,184,93,\u2014,15.4,47.31,69.78
F000000JZ1,184,93,\u2014,15.4,47.31,69.78
F00000QJ44,184,93,\u2014,15.4,47.31,69.78
F0GBR04AGW,40,155,\u2014,-50.16,60.32,81.39
F0GBR04EZC,40,155,\u2014,-50.16,60.32,81.39
F0GBR04AGZ,40,155,\u2014,-50.16,60.32,81.39
F0GBR04AH1,40,155,\u2014,-50.16,60.32,81.39
F0GBR052I9,40,155,\u2014,-50.16,60.32,81.39
F00000QJ41,40,155,\u2014,-50.16,60.32,81.39
F0GBR04AH5,52,11,\u2014,70.85,47.45,70.55
F00000T3F2,52,11,\u2014,70.85,47.45,70.55
F0GBR04EZ8,52,11,\u2014,70.85,47.45,70.55
F0GBR04AH7,52,11,\u2014,70.85,47.45,70.55
F0GBR04AH9,52,11,\u2014,70.85,47.45,70.55
F00000NMRO,52,11,\u2014,70.85,47.45,70.55
F0GBR052I8,52,11,\u2014,70.85,47.45,70.55
F00000QJ47,52,11,\u2014,70.85,47.45,70.55
F0GBR04SQV,41,76,\u2014,-140.18,64.11,82.63
F0GBR04T6V,41,76,\u2014,-140.18,64.11,82.63
F0GBR06PXN,41,76,\u2014,-140.18,64.11,82.63
F0GBR04SQZ,41,76,\u2014,-140.18,64.11,82.63
F0GBR04SR5,41,76,\u2014,-140.18,64.11,82.63
F00000Y0PK,41,76,\u2014,-140.18,64.11,82.63
F00000QKXT,41,76,\u2014,-140.18,64.11,82.63
F0GBR06LJ5,40,16,\u2014,37.47,65.91,87.7
F00000OZEY,40,16,\u2014,37.47,65.91,87.7
F0GBR06LJ6,40,16,\u2014,37.47,65.91,87.7
F0GBR06LJ7,40,16,\u2014,37.47,65.91,87.7
F0GBR06LJ8,40,16,\u2014,37.47,65.91,87.7
F00000OZEZ,40,16,\u2014,37.47,65.91,87.7
F0000106PY,40,16,\u2014,37.47,65.91,87.7
F0GBR06LJE,40,16,\u2014,37.47,65.91,87.7
F00000Y0PP,40,16,\u2014,37.47,65.91,87.7
F00000WGS3,40,16,\u2014,37.47,65.91,87.7
F00000WGS1,40,16,\u2014,37.47,65.91,87.7
F0GBR04HGZ,53,30,\u2014,-39.38,53.43,74.5
F00000T3EY,53,30,\u2014,-39.38,53.43,74.5
F0GBR053EE,53,30,\u2014,-39.38,53.43,74.5
F0GBR04G0Z,53,30,\u2014,-39.38,53.43,74.5
F0GBR053EH,53,30,\u2014,-39.38,53.43,74.5
F0GBR054AS,53,30,\u2014,-39.38,53.43,74.5
F00000QJ46,53,30,\u2014,-39.38,53.43,74.5
F00000QJ1W,54,111,\u2014,5.71,47.39,70.13
F00000QJ1Y,54,111,\u2014,5.71,47.39,70.13
F00000UEWW,54,111,\u2014,5.71,47.39,70.13
F00000QJ1Z,54,111,\u2014,5.71,47.39,70.13
F00000QJ20,54,111,\u2014,5.71,47.39,70.13
F00000QJ22,54,111,\u2014,5.71,47.39,70.13
F0GBR04ACG,36,1,\u2014,-95.74,68.41,91.46
F0GBR04F0B,36,1,\u2014,-95.74,68.41,91.46
F0GBR04ACO,36,1,\u2014,-95.74,68.41,91.46
F0GBR04ACS,36,1,\u2014,-95.74,68.41,91.46
F0GBR052JL,36,1,\u2014,-95.74,68.41,91.46
F0GBR061LU,45,1,\u2014,10.01,61.6,82.96
F0GBR061M4,45,1,\u2014,10.01,61.6,82.96
F0GBR061LX,45,1,\u2014,10.01,61.6,82.96
F0GBR061MQ,45,1,\u2014,10.01,61.6,82.96
F0GBR061MP,45,1,\u2014,10.01,61.6,82.96
F0GBR04AFC,51,47,\u2014,-59.97,66.44,88
F0GBR04F0N,51,47,\u2014,-59.97,66.44,88
F0GBR04AFD,51,47,\u2014,-59.97,66.44,88
F0GBR04AFE,51,47,\u2014,-59.97,66.44,88
F00000WG1B,51,47,\u2014,-59.97,66.44,88
F0GBR04LWW,49,2,\u2014,-1.58,66.76,89.52
F0GBR0551C,49,2,\u2014,-1.58,66.76,89.52
F0GBR04U3B,49,2,\u2014,-1.58,66.76,89.52
F0GBR04U3D,49,2,\u2014,-1.58,66.76,89.52
F0GBR061IH,49,2,\u2014,-1.58,66.76,89.52
F0GBR04IBC,104,17,27,111.52,51.1,72.63
F0GBR059NV,104,17,27,111.52,51.1,72.63
F00000YQMF,104,17,27,111.52,51.1,72.63
F0GBR04S2O,53,15,33,87.59,47.58,70.92
F00000YQMG,53,15,33,87.59,47.58,70.92
F0GBR06C3N,41,5,56,65.4,69.5,85.9
F0GBR06G72,276,10,18,98,54.75,75.49
F0GBR06TM0,276,10,18,98,54.75,75.49
F0GBR06G74,276,10,18,98,54.75,75.49
F0GBR063XB,276,10,18,98,54.75,75.49
F0GBR06G78,276,10,18,98,54.75,75.49
F0GBR06G76,276,10,18,98,54.75,75.49
F0GBR06G75,276,10,18,98,54.75,75.49
F0GBR06G77,276,10,18,98,54.75,75.49
F0GBR06G7A,276,10,18,98,54.75,75.49
F0GBR06G7C,276,10,18,98,54.75,75.49
F00000OMZQ,276,10,18,98,54.75,75.49
F000002KUP,140,6,28,131,49.75,70.62
F00000YMCF,246,13,19,51,44.26,69.26
F00000XBO1,246,13,19,51,44.26,69.26
F00000HH89,119,19,13,76,57.08,78.54
F00000VRC4,119,19,13,76,57.08,78.54
F00000VQIN,221,11,13,94,57.05,72.68
F0GBR04NBN,66,1,30,97.28,49.53,71
F0000003AR,444,12,21,-3.74,45.77,68.06
F00000Q0EW,31,8,36,182,65.27,91.01
F00000VZWA,31,8,36,182,65.27,91.01
F00000Q0EX,31,8,36,182,65.27,91.01
F00000Q9WX,30,5,36,50,56.36,78.57
F00000Q9WW,30,5,36,50,56.36,78.57
F00000Q9WV,30,5,36,50,56.36,78.57
F00000W9N9,40,7,72,-16,74.6,91.92
F0GBR04SKN,39,1,33,348,56.84,75.84
F0GBR06I2G,39,1,33,348,56.84,75.84
F00000WYDM,58,5,\u2014,\u2014,52.49,74.92
F00000LZGI,58,5,\u2014,\u2014,52.49,74.92
F00000NJCV,58,5,\u2014,\u2014,52.49,74.92
F00000XVJA,60,1,28,\u2014,57.08,80.28
F000000I19,60,11,28,61.57,57.09,80.21
F00000Q3SI,60,11,28,61.57,57.09,80.21
F000000I15,72,12,23,40.94,54.84,77.79
F000000I18,72,12,23,40.94,54.84,77.79
F00000Z1CQ,72,12,23,40.94,54.84,77.79
F00000QLX5,72,12,23,40.94,54.84,77.79
F000002TD6,105,12,22,-44.61,58.91,84.55
F000002TD7,105,12,22,-44.61,58.91,84.55
F00000SEBP,105,12,22,-44.61,58.91,84.55
F00000SZ35,105,12,22,-44.61,58.91,84.55
F0GBR04ARE,59,3,27,5.46,57.52,77.32
F0GBR0552X,59,3,27,5.46,57.52,77.32
