,P_E,P_B,P_Sales,P_CashFlow,Dividend_Yield_Percent,Long_term_earning_Percent,Historical_earning_Percent,Sales_growth_percent,Cashflow_growth_percent,Book_value_growth_percent,Equity_Holding,Other_Holding,Assets_in_top10_holdings_percent,Reported_turnover_percent,Active_Share_percent,Top3_sector_percent,Top5_sector_percent,Equity_Holding_Amount,giant_percent,large_percent,mid_percent,small_percent,micro_percent,Style,Style_5_Min,Style_5_Max,Yield,Yield_5_Min,Yield_5_Max,Momentum,Momentum_5_Min,Momentum_5_Max,Quality,Quality_5_Min,Quality_5_Max,Volatility,Volatility_5_Min,Volatility_5_Max,Liquidity,Liquidity_5_Min,Liquidity_5_Max,Size,Size_5_Min,Size_5_Max
F00000Y4L0,11.18,0.94,0.65,4.96,2.27,11.67,-10.34,-4.95,7.98,-3.36,87,12,26,,,60.97,83.31,13.39 Bil,17.16,33.65,28.09,10.96,0.85,94.31,90.77,97.82,33.46,4.59,41.33,88.88,26.59,97.53,88.39,54.3,90.74,18.72,13.51,44.52,24.65,11.41,33.38,32.05,29.6,43.27
F00000TEMI,17.24,2.05,1.27,9.91,1.43,11.32,3.61,-0.33,22.55,1.61,71,5,24,434.49,,58.08,80.25,11.45 Bil,20.68,23.58,39,11.6,0.89,41.46,9.84,41.46,82.05,70.32,94.22,11.23,3.09,42.59,83.64,27.77,83.64,27.76,15.43,78.91,23.84,12.23,86.69,25.72,24.06,43.3
F0GBR04M9W,17.24,2.05,1.27,9.91,1.43,11.32,3.61,-0.33,22.55,1.61,71,5,24,434.49,,58.08,80.25,11.45 Bil,20.68,23.58,39,11.6,0.89,41.46,9.84,41.46,82.05,70.32,94.22,11.23,3.09,42.59,83.64,27.77,83.64,27.76,15.43,78.91,23.84,12.23,86.69,25.72,24.06,43.3
F0000000QC,17.15,2.06,1.48,10.8,1.77,10,-5.85,-8.84,-2.25,1.04,61,2,27,52.07,,49.52,70.44,29.60 Bil,36.14,34.75,23.94,4.11,0,50.88,7.6,50.88,67.55,57.25,95.92,64.92,7.58,90.01,35.55,24.84,84.83,54.59,18.17,67.23,47.6,22.79,86.6,59.57,27.86,67.63
F00000T3EY,11.48,1.04,0.81,6.81,2.39,15.26,-16.82,-7.27,-4.75,-6.3,53,30,,-39.38,,53.43,74.5,12.05 Bil,16.67,40.18,23.48,10.49,3.94,91.26,82.75,97.79,31.66,5.76,76.47,52.85,19.89,97.99,73.23,27.63,92.02,21.41,8.33,50.48,25.3,13.72,75.95,35.18,22.75,35.18
F0GBR04HGZ,11.48,1.04,0.81,6.81,2.39,15.26,-16.82,-7.27,-4.75,-6.3,53,30,,-39.38,,53.43,74.5,12.05 Bil,16.67,40.18,23.48,10.49,3.94,91.26,82.75,97.79,31.66,5.76,76.47,52.85,19.89,97.99,73.23,27.63,92.02,21.41,8.33,50.48,25.3,13.72,75.95,35.18,22.75,35.18
F00000X6F9,16.92,2.53,1.13,10.32,1.94,7.84,4.85,-2.35,8.99,3.94,118,8,27,,,58.71,78.72,20.02 Bil,27.82,34.69,36.13,1.02,0,42.41,10.24,46.2,57.36,49.66,80.02,19.7,7.59,45.08,33.78,10.63,59.85,74.09,30.46,80.98,44.46,19.85,79.68,43.69,26.95,44.93
F00000WPQ8,12.67,1.26,0.69,5.21,2.26,14.16,0.98,-4.61,6.44,-3.72,33,1,44,,,60.8,82.82,6.30 Bil,4.87,25.62,39.6,23.33,1.15,84.91,61.01,91.71,74.61,47.18,82.93,16.58,16.34,96.53,74.91,26.54,88.81,11.17,8.13,42.26,17.25,17.25,96.57,21.96,14.05,22.46
F00000WPQ9,12.67,1.26,0.69,5.21,2.26,14.16,0.98,-4.61,6.44,-3.72,33,1,44,,,60.8,82.82,6.30 Bil,4.87,25.62,39.6,23.33,1.15,84.91,61.01,91.71,74.61,47.18,82.93,16.58,16.34,96.53,74.91,26.54,88.81,11.17,8.13,42.26,17.25,17.25,96.57,21.96,14.05,22.46
F00000VKPB,35.67,4.15,4.25,22.38,0.64,15.41,8.39,9.98,10.1,14,40,3,40,,,56.45,83.12,17.90 Bil,26.26,32.52,38,2.45,0,2.68,2.39,18.72,97.85,62.23,98.25,3.46,2.78,89.82,4.26,2.49,13.21,27.85,9.46,60.02,72.57,37.15,91.04,37.23,26.92,40.16
F00000PBLO,34.23,4.89,3.88,20.59,0.83,13.27,3.72,6.46,28.3,9.03,35,48,52,-10.99,,76.44,93.08,19.77 Bil,20.01,39.65,35.36,4.46,0.04,4.19,2.48,11.03,94.82,93.38,98.1,19.03,3.79,45.84,26.31,13.86,46.03,57.59,19.69,79.16,85.03,62.65,94.62,39.31,22.23,41.86
F000002O8F,21.33,2.3,1.63,13.65,2,13.75,-10.27,-4.9,7.27,2.44,51,10,33,-1.52,,63.46,82.47,6.05 Bil,0.32,13.01,76.52,7.52,0.04,29.91,14.26,37.42,76.42,68.08,90.39,42.18,10.43,85.27,38.78,26.85,62.9,39.29,16.22,49.69,37.41,17.49,74.75,19.88,15.42,20.11
F00000YR7U,30.57,4.85,3.31,22.24,1.08,15.5,-6.29,1.4,21.82,4.9,24,21,,177.86,,69.86,94.67,16.93 Bil,14.9,43.32,31.24,6.72,0,7.88,6.79,82.42,89.79,24.95,92.62,26.46,6.3,94.35,38.57,29.02,92.11,61.48,5.28,73.41,66.25,7.27,82.82,37.39,25.13,55.59
F00000M84R,30.57,4.85,3.31,22.24,1.08,15.5,-6.29,1.4,21.82,4.9,24,21,,177.86,,69.86,94.67,16.93 Bil,14.9,43.32,31.24,6.72,0,7.88,6.79,82.42,89.79,24.95,92.62,26.46,6.3,94.35,38.57,29.02,92.11,61.48,5.28,73.41,66.25,7.27,82.82,37.39,25.13,55.59
F00000MBWQ,16.96,2.57,1.34,10.32,2.05,17.32,7.37,-3.83,-2.08,-0.57,22,2,53,171.9,,66.23,84.51,22.14 Bil,39.53,24.69,34.77,0,0,33.22,18.78,71.11,76.89,46.94,93.67,66.28,23.31,95.54,76.84,16.26,85.26,51.18,15.29,66.51,29.23,13.51,84.33,40.78,27.76,51.69
F00000JVNA,24.84,3.49,2.34,13.48,1.26,10.2,-4.75,0.76,14.06,4.99,39,3,33,-56.93,,63.53,84.95,20.09 Bil,20.6,45.56,24.86,2.92,0.76,20.94,10.35,26.65,84.47,77.11,92.62,72.24,16.04,92.13,68.31,12.44,74.56,60.58,26.99,81.22,87.06,33.6,88.28,38.92,37.03,44.57
