SecId,P_E,P_B,P_Sales,P_CashFlow,Dividend_Yield_Percent,Long_term_earning_Percent,Historical_earning_Percent,Sales_growth_percent,Cashflow_growth_percent,Book_value_growth_percent
F00000O577,20.37,3.19,1.78,12.38,2.58,7.73,-0.71,0.55,9.37,2.87
F00001154P,16.25,1.95,1.45,10.01,2.49,9.42,-2.73,-3.18,7.72,0.65
F000002FCS,13.31,1.27,0.97,8.43,2.12,12.54,-12.01,-8.31,-6.73,-5.02
F00000WRG9,16.37,1.94,1.59,11.12,2.23,11.13,-5.98,-4.48,1.35,-0.42
F00000286Y,16.37,1.94,1.59,11.12,2.23,11.13,-5.98,-4.48,1.35,-0.42
F00000286Z,16.37,1.94,1.59,11.12,2.23,11.13,-5.98,-4.48,1.35,-0.42
F000002HT1,16.37,1.94,1.59,11.12,2.23,11.13,-5.98,-4.48,1.35,-0.42
F00000T54P,16.37,1.94,1.59,11.12,2.23,11.13,-5.98,-4.48,1.35,-0.42
F00000Y9WD,18.61,2.19,1.91,13.6,2.02,11.1,-4.01,-2.13,6.36,1.16
F00000Y60D,18.61,2.19,1.91,13.6,2.02,11.1,-4.01,-2.13,6.36,1.16
F00000Y9WE,18.61,2.19,1.91,13.6,2.02,11.1,-4.01,-2.13,6.36,1.16
F00000Y9WF,18.61,2.19,1.91,13.6,2.02,11.1,-4.01,-2.13,6.36,1.16
F00000Y9WG,18.61,2.19,1.91,13.6,2.02,11.1,-4.01,-2.13,6.36,1.16
F00000Y9WH,18.61,2.19,1.91,13.6,2.02,11.1,-4.01,-2.13,6.36,1.16
F00000286V,15.99,1.61,1.33,11.33,2.29,11.02,-8.51,-2.73,1.04,0.83
F00000286W,15.99,1.61,1.33,11.33,2.29,11.02,-8.51,-2.73,1.04,0.83
F000003U94,15.99,1.61,1.33,11.33,2.29,11.02,-8.51,-2.73,1.04,0.83
F00000T54K,15.99,1.61,1.33,11.33,2.29,11.02,-8.51,-2.73,1.04,0.83
F000010SV4,11.72,0.76,1.31,8.64,1.23,13.55,-6.17,-4.24,21.18,0.5
F00000OYDI,11.72,0.76,1.31,8.64,1.23,13.55,-6.17,-4.24,21.18,0.5
F00000W0TN,11.72,0.76,1.31,8.64,1.23,13.55,-6.17,-4.24,21.18,0.5
F00000Y4U5,20.76,2.43,1.44,10.83,1.75,15.18,-6.21,1.81,20.43,3.76
F00000OLO9,20.76,2.43,1.44,10.83,1.75,15.18,-6.21,1.81,20.43,3.76
F00000YM5P,20.76,2.43,1.44,10.83,1.75,15.18,-6.21,1.81,20.43,3.76
F00000VXPM,20.76,2.43,1.44,10.83,1.75,15.18,-6.21,1.81,20.43,3.76
F00000YM5R,20.76,2.43,1.44,10.83,1.75,15.18,-6.21,1.81,20.43,3.76
F00000LOWI,18.09,2.16,1.17,11.18,2.29,8.46,-7.56,6.1,5.8,4.19
F0GBR063QR,20.3,1.04,9.31,22.4,3,8.15,-7.7,4.67,-7.21,3.35
F0GBR064G3,20.3,1.04,9.31,22.4,3,8.15,-7.7,4.67,-7.21,3.35
F0GBR04LG0,28.21,3.2,2.49,17.23,0.89,14.9,-0.17,-0.87,18.61,5.64
F0GBR04NOI,28.21,3.2,2.49,17.23,0.89,14.9,-0.17,-0.87,18.61,5.64
F00000LI6I,18.53,2.04,1.56,11.94,1.85,11.44,-6.61,-1.55,0.8,2.93
F00000ZS1K,31.33,5.46,2.9,21.58,0.9,19.55,5.45,9.86,8.44,13.32
F00000ZG9Q,31.33,5.46,2.9,21.58,0.9,19.55,5.45,9.86,8.44,13.32
F00000ZGDQ,30.55,5.14,3.49,22.62,1.1,12.74,6.24,3.36,7.71,8.34
F000003UW0,14.06,1.57,1.43,10.92,3.05,15.58,-8,-7.14,-4.37,-1.95
