SecId,Name,StarRatingM255,SustainabilityRank,CategoryName,Yield_M12,GBRReturnW1,GBRReturnM1,GBRReturnM3,GBRReturnM6,GBRReturnM0,GBRReturnM12,GBRReturnM36,GBRReturnM60,MaxFrontEndLoad,OngoingCostActual,TransactionFeeActual,ManagerTenure,FundTNAV,EquityStyleBox,AverageMarketCapital,MorningstarRiskM255,AlphaM36,BetaM36,R2M36,StandardDeviationM36,SharpeM36,ReturnProfilePreservation,ReturnProfileIncome,ReturnProfileHedging,TrackRecordExtension
F00000PXID,BNP Paribas China Eq I C,4,4,China Equity,0,2.17,-2.1,-14.08,-15.94,-10.7,-1.57,18.38,16.66,0,1.11,0.18,1.17,1706687686,3,39914.16653,4,10.02,0.96,91.14,18.15,0.88,3,3,3,TRUE
0P0000Z5YS,BNP Paribas China Eq I C JPY,4,4,China Equity,0,2.1,-1.46,-13.8,-13.38,-4.88,1.98,18.05,17.94,0,1.11,0.18,1.17,1706687686,3,39914.16653,4,10.02,0.96,91.14,18.15,0.88,3,3,3,TRUE
F00000PXIF,BNP Paribas China Eq Privl C,4,4,China Equity,0,2.17,-2.11,-14.11,-15.99,-10.77,-1.68,18.24,16.48,3,1.23,0.18,1.17,1706687686,3,39914.16653,4,9.91,0.96,91.14,18.15,0.88,3,3,3,TRUE
0P000102QF,BNP Paribas China Eq Privl C EUR,4,4,China Equity,0,1.2,-1.99,-11.66,-14.61,-8,-1.91,17.46,15.07,3,1.23,0.18,1.17,1706687686,3,39914.16653,4,9.91,0.96,91.14,18.15,0.88,3,3,3,FALSE
F00000PXFW,BNP Paribas Emerging Eq Cl C USD,1,4,Global Emerging Markets Equity,0,3.27,1.43,-8.51,-9.23,-5.38,-3.27,3.73,5.48,3,2.22,0.18,4.58,384274003.9,2,31368.01375,3,-5.51,0.98,84.66,16.51,0.15,3,3,3,TRUE
0P0000YWFH,BNP Paribas Emerging Eq Cl C USD NOK,1,4,Global Emerging Markets Equity,0,1.19,-0.38,-4.85,-7.7,-4.49,-5.26,4.87,6.25,3,2.22,0.18,4.58,384274003.9,2,31368.01375,3,-5.51,0.98,84.66,16.51,0.15,3,3,3,TRUE
0P0000YWFI,BNP Paribas Emerging Eq Cl C USD SEK,1,4,Global Emerging Markets Equity,0,1.56,1.45,-5.14,-7.38,-1.21,-4.81,1.55,5.46,3,2.22,0.18,4.58,384274003.9,2,31368.01375,3,-5.51,0.98,84.66,16.51,0.15,3,3,3,TRUE
F00000PXFU,BNP Paribas Emerging Eq Cl Eur C,1,4,Global Emerging Markets Equity,0,2.29,1.54,-5.9,-7.74,-2.45,-3.49,3.04,4.19,3,2.23,0.18,4.58,384274003.9,2,31368.01375,3,-5.51,0.98,84.66,16.51,0.15,3,3,3,TRUE
F00000PXFZ,BNP Paribas Emerging Eq Privl C,2,4,Global Emerging Markets Equity,0,3.29,1.51,-8.28,-8.77,-4.74,-2.3,4.77,6.49,3,1.21,0.18,4.58,384274003.9,2,31368.01375,4,-4.52,0.98,84.68,16.52,0.21,3,3,3,TRUE
0P00011NAQ,BNP Paribas Emerging Eq Privl C EUR,2,4,Global Emerging Markets Equity,0,2.31,1.63,-5.66,-7.27,-1.79,-2.52,4.08,5.2,3,1.21,0.18,4.58,384274003.9,2,31368.01375,4,-4.52,0.98,84.68,16.51,0.21,3,3,3,TRUE
