SecId,Equity_Holding,giant_percent,large_percent,mid_percent,small_percent,micro_percent
F00000UF1Z,16.84 Bil,25.84,29.49,41.49,2.35,0.00
0P000148YE,16.84 Bil,25.84,29.49,41.49,2.35,0.00
F00000OU96,16.84 Bil,25.84,29.49,41.49,2.35,0.00
F00000Z1T9,,14.46,14.70,42.65,21.80,1.73
F0GBR059RK,10.82 Bil,26.34,20.34,38.08,12.42,2.06
F0GBR04GPJ,10.82 Bil,26.34,20.34,38.08,12.42,2.06
F0GBR06P0W,1.72 Bil,0.00,1.95,49.96,43.22,4.53
F0GBR04HKP,1.72 Bil,0.00,1.95,49.96,43.22,4.53
F00000OU9I,1.72 Bil,0.00,1.95,49.96,43.22,4.53
F000014MAT,19.43 Bil,31.13,24.33,41.94,0.99,0.00
F00000MDB1,12.49 Bil,24.89,29.18,27.17,12.07,0.94
F00000MDAZ,12.49 Bil,24.89,29.18,27.17,12.07,0.94
F00000TQLQ,30.44 Bil,34.79,34.34,20.35,4.15,1.01
F00000TQLS,30.44 Bil,34.79,34.34,20.35,4.15,1.01
F00000TQMF,16.17 Bil,21.48,41.63,28.04,7.00,1.06
F00000TQMJ,16.17 Bil,21.48,41.63,28.04,7.00,1.06
F00000WQ4L,17.42 Bil,25.16,30.58,33.12,6.07,0.00
F00000WQ4H,17.42 Bil,25.16,30.58,33.12,6.07,0.00
F00000SJ7Y,20.86 Bil,35.02,25.17,35.92,2.80,0.00
F00000ZTV3,20.86 Bil,35.02,25.17,35.92,2.80,0.00
F0GBR06OGV,20.86 Bil,35.02,25.17,35.92,2.80,0.00
F0GBR06OGU,20.86 Bil,35.02,25.17,35.92,2.80,0.00
F0GBR06OGX,20.86 Bil,35.02,25.17,35.92,2.80,0.00
F00000OIGU,23.16 Bil,35.32,36.21,17.74,4.79,0.33
F000014PU7,736.05 Mil,0.00,0.00,18.56,40.35,30.41
F00000WK2T,736.05 Mil,0.00,0.00,18.56,40.35,30.41
F00000Q6JT,873.80 Mil,0.00,0.00,19.14,48.85,20.78
F00000Q6JU,873.80 Mil,0.00,0.00,19.14,48.85,20.78
F00000SZGU,873.80 Mil,0.00,0.00,19.14,48.85,20.78
F00000XXVT,35.36 Bil,44.50,36.83,17.55,0.02,0.00
F00000LWVH,22.17 Bil,36.23,30.06,24.38,4.90,0.68
F00000UDZ7,22.17 Bil,36.23,30.06,24.38,4.90,0.68
F000003YD1,27.67 Bil,37.14,38.56,20.66,1.95,0.12
F00000XUIV,754.95 Mil,0.00,5.66,9.30,31.20,30.86
F00000XUIW,754.95 Mil,0.00,5.66,9.30,31.20,30.86
F00000YLXY,754.95 Mil,0.00,5.66,9.30,31.20,30.86
F00000YQNM,35.13 Bil,43.29,34.24,19.25,0.02,0.00
F0GBR06FXV,13.56 Bil,18.08,27.86,37.16,4.10,0.08
F0GBR06FXX,13.56 Bil,18.08,27.86,37.16,4.10,0.08
F0GBR06FY2,13.56 Bil,18.08,27.86,37.16,4.10,0.08
F0GBR06FY0,13.56 Bil,18.08,27.86,37.16,4.10,0.08
F00000YLXW,754.95 Mil,0.00,5.66,9.30,31.20,30.86
F00000VIF2,11.73 Bil,23.57,25.77,33.50,9.95,2.62
