SecId,P_E,P_B,P_Sales,P_CashFlow,Dividend_Yield_Percent,Long_term_earning_Percent,Historical_earning_Percent,Sales_growth_percent,Cashflow_growth_percent,Book_value_growth_percent
F00000P7MS,19.6,2.8,1.9,14.41,1.98,8.97,-6.54,-8.47,-2.45,2.07
F0GBR04EAV,19.6,2.8,1.9,14.41,1.98,8.97,-6.54,-8.47,-2.45,2.07
F00000MTB9,17.7,2.21,1.81,11.8,1.08,11.24,-11.83,-1.43,11.3,5.76
F0GBR0659Q,15.02,2.27,1.88,12.82,1.73,12.13,-3.98,-4.46,5.3,0.35
F00000PIZX,12.57,1.41,1.1,8.12,2.95,16.85,-12.7,-6.51,4.13,-2.59
F00000PIZT,12.57,1.41,1.1,8.12,2.95,16.85,-12.7,-6.51,4.13,-2.59
F00000PJ02,12.59,1.43,1.1,8.08,2.94,16.93,-11.77,-6.53,4.19,-2.62
F00000PIZY,12.59,1.43,1.1,8.08,2.94,16.93,-11.77,-6.53,4.19,-2.62
F0GBR04RMZ,21.25,3.17,2.73,19.56,1.14,12.67,-3.32,2.98,34.13,3.9
F0GBR06XPX,14,1.66,1.1,9.4,1.94,11.56,-7.34,-6.76,8.08,-2.49
F00000YQCX,16.11,1.91,1.62,10.64,2.25,11.52,-7.13,-5.49,1.77,-0.59
F00000V370,17.7,2.21,1.81,11.8,1.08,11.24,-11.83,-1.43,11.3,5.76
F00000MKL8,17.7,2.21,1.81,11.8,1.08,11.24,-11.83,-1.43,11.3,5.76
F000011GGB,17.7,2.21,1.81,11.8,1.08,11.24,-11.83,-1.43,11.3,5.76
F00000OP3E,18.39,2.76,2.15,13.89,1.67,9.23,-10.53,-7.48,4.72,1.61
F00000P77X,18.39,2.76,2.15,13.89,1.67,9.23,-10.53,-7.48,4.72,1.61
F0GBR04S5A,18.39,2.76,2.15,13.89,1.67,9.23,-10.53,-7.48,4.72,1.61
F00000X08A,17.43,2.57,1.7,14.49,1.6,8.78,-9.68,-5.52,3.8,2.64
F00000WY1P,17.43,2.57,1.7,14.49,1.6,8.78,-9.68,-5.52,3.8,2.64
F00000WY1Q,17.43,2.57,1.7,14.49,1.6,8.78,-9.68,-5.52,3.8,2.64
