SecId,Equity_Holding,Other_Holding,Assets_in_top10_holdings_percent,Reported_turnover_percent,Active_Share_percent,Top3_sector_percent,Top5_sector_percent
F00000Q6JU,36,3,42,41.80,98.58,69.03,81.61
F00000SZGU,36,3,42,41.80,98.58,69.03,81.61
F00000XXVT,99,4,39,\u2014,,50.73,70.2
F00000LWVH,401,193,31,\u2014,,46.19,68.13
F00000UDZ7,401,193,31,\u2014,,46.19,68.13
F000003YD1,75,2,47,26.00,,62.01,80.68
F00000XUIV,18,2,55,\u2014,,60.57,82.33
F00000XUIW,18,2,55,\u2014,,60.57,82.33
F00000YLXY,18,2,55,\u2014,,60.57,82.33
F00000YQNM,100,11,38,0.49,,50.9,70.33
F0GBR06FXV,310,8,20,88.00,47.46,47.88,71.7
F0GBR06FXX,310,8,20,88.00,47.46,47.88,71.7
F0GBR06FY2,310,8,20,88.00,47.46,47.88,71.7
F0GBR06FY0,310,8,20,88.00,47.46,47.88,71.7
F00000YLXW,18,2,55,\u2014,,60.57,82.33
F00000VIF2,26,3,48,\u2014,81.12,65.27,87.79
F00000VIF4,26,3,48,\u2014,81.12,65.27,87.79
F00000VIF6,26,3,48,\u2014,81.12,65.27,87.79
F00000TGIQ,31,2,42,\u2014,,49.71,73.78
F00000O5G5,31,2,42,\u2014,,49.71,73.78
F000000KX0,145,3,43,11.00,23.59,55.68,74.2
F000000KX4,145,3,43,11.00,23.59,55.68,74.2
F00000TGGO,39,2,35,\u2014,63.12,56.78,72.8
F00000TGFI,39,2,35,\u2014,63.12,56.78,72.8
F00000TGGQ,39,2,35,\u2014,63.12,56.78,72.8
F0000106V1,27,42,50,\u2014,67.49,71.93,87.55
F0000106UZ,27,42,50,\u2014,67.49,71.93,87.55
FOGBR05U53,1,51,86,203.97,99.89,45.87,64.8
F000010NXG,35,4,44,\u2014,69.05,50.5,67.7
F000010NXJ,35,4,44,\u2014,69.05,50.5,67.7
F0GBR050J6,43,24,41,52.00,55.87,47.28,71.89
F00000WQ4J,44,7,38,\u2014,,55.1,80.16
F00000UDZA,75,2,47,26.00,,62.01,80.68
F0GBR06FY4,310,8,20,88.00,47.46,47.88,71.7
F0GBR06FY6,310,8,20,88.00,47.46,47.88,71.7
F00000ZTBI,310,8,20,88.00,47.46,47.88,71.7
F00000SJ22,25,1,\u2014,\u2014,82.20,50.4,77.37
F00000SD92,25,1,\u2014,\u2014,82.20,50.4,77.37
F0GBR06LU1,80,1,35,31.56,46.88,45.52,69.1
F0000003AN,393,194,30,-7.96,,44.83,66.71
F00000W9ND,87,7,44,9.00,,52.24,72.84
F000010NXD,39,14,38,\u2014,70.88,53.62,72.95
FOGBR05TW2,28,1,50,172.00,93.72,62.45,88.49
FOGBR05TW3,28,1,50,172.00,93.72,62.45,88.49
F0GBR06HSH,90,1,32,223.00,,61.87,80.33
F0GBR04SKO,90,1,32,223.00,,61.87,80.33
F0GBR04GK3,59,1,45,145.00,,53.44,74.28
F0GBR06FNX,59,1,45,145.00,,53.44,74.28
F0GBR06KRI,32,1,40,21.95,69.11,45.86,63.91
F00000OY37,34,4,39,\u2014,,57.86,83.2
F00000V5H9,34,4,39,\u2014,,57.86,83.2
F00000ZDVB,40,1,52,\u2014,,60.31,83.26
F00000ZDVD,40,1,52,\u2014,,60.31,83.26
F00000Y4BM,30,1,42,\u2014,83.20,60.38,81.95
F00000Y4BO,30,1,42,\u2014,83.20,60.38,81.95
F00000Y4BQ,30,1,42,\u2014,83.20,60.38,81.95
F0GBR06J42,33,0,42,40.90,,66.87,82.97
F00000VKHB,32,0,43,\u2014,84.68,62.86,78.38
F0GBR06L03,65,5,\u2014,\u2014,79.30,49.64,69.48
F00000NF4R,53,7,37,-27.45,59.78,51.31,77.3
F00000NF4S,53,7,37,-27.45,59.78,51.31,77.3
F00000OXO9,53,7,37,-27.45,59.78,51.31,77.3
F00000XSAU,42,6,46,\u2014,76.00,60.13,81.31
F00000XSB4,42,6,46,\u2014,76.00,60.13,81.31
F00000XSB2,42,6,46,\u2014,76.00,60.13,81.31
