SecId,company_1,percent_1,company_2,percent_2,company_3,percent_3,company_4,percent_4,company_5,percent_5,company_6,percent_6,company_7,percent_7,company_8,percent_8,company_9,percent_9,company_10,percent_10
F00000QK4Q,UDG Healthcare PLC,3.75,Ashtead Group PLC,3.41,AstraZeneca PLC,3.31,Smith & Nephew PLC,3.28,IMI PLC,3.26,WPP PLC,3.21,QinetiQ Group PLC,3.17,Hays PLC,3.15,Next PLC,3.15,Smiths Group PLC,3.14
F000002XXL,AstraZeneca PLC,5.37,Diageo PLC,4.85,British American Tobacco PLC,4.13,Rio Tinto PLC,3.78,RELX PLC,3.61,Anglo American PLC,3.54,Unilever PLC,3.45,Sage Group (The) PLC,2.42,Burberry Group PLC,2.39,,
F0GBR06LR6,AstraZeneca PLC,5.18,Rio Tinto PLC,4.5,Diageo PLC,4.48,British American Tobacco PLC,3.45,RELX PLC,3.37,Unilever PLC,3.19,GlaxoSmithKline PLC,2.69,Royal Dutch Shell PLC B,2.51,Anglo American PLC,2.27,,
F0000008R6,AstraZeneca PLC,5.18,Rio Tinto PLC,4.5,Diageo PLC,4.48,British American Tobacco PLC,3.45,RELX PLC,3.37,Unilever PLC,3.19,GlaxoSmithKline PLC,2.69,Royal Dutch Shell PLC B,2.51,Anglo American PLC,2.27,,
F0GBR06IV3,Unilever PLC,4.6,AstraZeneca PLC,4.11,HSBC Holdings PLC,3.87,Diageo PLC,3.19,GlaxoSmithKline PLC,2.86,Rio Tinto PLC,2.72,BP PLC,2.6,British American Tobacco PLC,2.39,Royal Dutch Shell PLC B,2.01,,
F0000008UQ,Unilever PLC,4.6,AstraZeneca PLC,4.11,HSBC Holdings PLC,3.87,Diageo PLC,3.19,GlaxoSmithKline PLC,2.86,Rio Tinto PLC,2.72,BP PLC,2.6,British American Tobacco PLC,2.39,Royal Dutch Shell PLC B,2.01,,
F0GBR06IV2,Unilever PLC,4.6,AstraZeneca PLC,4.11,HSBC Holdings PLC,3.87,Diageo PLC,3.19,GlaxoSmithKline PLC,2.86,Rio Tinto PLC,2.72,BP PLC,2.6,British American Tobacco PLC,2.39,Royal Dutch Shell PLC B,2.01,,
F0GBR04NA1,Intermediate Capital Group PLC,4.13,Rio Tinto PLC,3.48,Bellway PLC,3.18,Watches of Switzerland Group PLC,3.14,Sanne Group PLC,2.95,Prudential PLC,2.8,RELX PLC,2.58,Oxford Instruments PLC,2.48,Royal Dutch Shell PLC B,2.45,Clinigen Group PLC,2.44
F00000MPUP,Intermediate Capital Group PLC,4.13,Rio Tinto PLC,3.48,Bellway PLC,3.18,Watches of Switzerland Group PLC,3.14,Sanne Group PLC,2.95,Prudential PLC,2.8,RELX PLC,2.58,Oxford Instruments PLC,2.48,Royal Dutch Shell PLC B,2.45,Clinigen Group PLC,2.44
F000013LAW,Intermediate Capital Group PLC,4.13,Rio Tinto PLC,3.48,Bellway PLC,3.18,Watches of Switzerland Group PLC,3.14,Sanne Group PLC,2.95,Prudential PLC,2.8,RELX PLC,2.58,Oxford Instruments PLC,2.48,Royal Dutch Shell PLC B,2.45,Clinigen Group PLC,2.44
F0GBR06NY5,Intermediate Capital Group PLC,4.13,Rio Tinto PLC,3.48,Bellway PLC,3.18,Watches of Switzerland Group PLC,3.14,Sanne Group PLC,2.95,Prudential PLC,2.8,RELX PLC,2.58,Oxford Instruments PLC,2.48,Royal Dutch Shell PLC B,2.45,Clinigen Group PLC,2.44
F00000THLI,iEnergizer Ltd,3.63,Phoenix Group Holdings PLC,2.83,Anglo American PLC,2.73,HSBC Holdings PLC,2.59,Lloyds Banking Group PLC,2.58,GlaxoSmithKline PLC,2.53,Morgan Advanced Materials PLC,2.43,AstraZeneca PLC,2.37,Redde Northgate PLC,2.32,Unilever PLC,2.29
F000013LAX,iEnergizer Ltd,3.63,Phoenix Group Holdings PLC,2.83,Anglo American PLC,2.73,HSBC Holdings PLC,2.59,Lloyds Banking Group PLC,2.58,GlaxoSmithKline PLC,2.53,Morgan Advanced Materials PLC,2.43,AstraZeneca PLC,2.37,Redde Northgate PLC,2.32,Unilever PLC,2.29
F0GBR04SB6,iEnergizer Ltd,3.63,Phoenix Group Holdings PLC,2.83,Anglo American PLC,2.73,HSBC Holdings PLC,2.59,Lloyds Banking Group PLC,2.58,GlaxoSmithKline PLC,2.53,Morgan Advanced Materials PLC,2.43,AstraZeneca PLC,2.37,Redde Northgate PLC,2.32,Unilever PLC,2.29
F0GBR04DDS,Impax Asset Management Group PLC,3.02,Future PLC,2.68,Bellway PLC,2.51,Clinigen Group PLC,2.05,Oxford Instruments PLC,2.04,RWS Holdings PLC,2.03,Team17 Group PLC,1.98,Mitchells & Butlers PLC,1.96,Gamma Communications PLC,1.91,Watches of Switzerland Group PLC,1.85
F00000V7B5,AXAWF Fram UK L Cap GBP,17.87,LF Lindsell Train UK Equity D Acc,17.64,Jupiter UK Special Situations I Acc,16.67,JOHCM UK Equity income B GBP Acc,16.19,Threadneedle UK Equity Alpha Inc Ins Inc,12.42,Marlborough UK Micro Cap Growth P Acc,12.1,Marlborough Multi Cap Income P Acc,6.65,LF Equity Income Z Sterling Acc,0.46,,,,
F00000XQDE,Experian PLC,5.43,RELX PLC,5.4,Diageo PLC,5.28,Ideagen PLC,5.15,Adobe Inc,4.86,Visa Inc Class A,4.68,Autodesk Inc,4.63,Ascential PLC,4.41,Unilever PLC,4.11,Close Brothers Group PLC,4.11
F00000YEFI,Close Brothers Group PLC,5.78,RELX PLC,4.79,Next PLC,4.51,Unilever PLC,4.46,Primary Health Properties PLC,4.44,Diageo PLC,4.31,Legal & General Group PLC,3.89,Pennon Group PLC,3.85,PayPoint PLC,3.79,,
F00000OOAS,Unilever PLC,5.4,AstraZeneca PLC,5.16,HSBC Holdings PLC,4.9,Rio Tinto PLC,3.8,Diageo PLC,3.66,GlaxoSmithKline PLC,3.33,Royal Dutch Shell PLC Class A,3.32,BP PLC,3.24,British American Tobacco PLC,3.21,,
F0GBR04CPU,Unilever PLC,5.4,AstraZeneca PLC,5.16,HSBC Holdings PLC,4.9,Rio Tinto PLC,3.8,Diageo PLC,3.66,GlaxoSmithKline PLC,3.33,Royal Dutch Shell PLC Class A,3.32,BP PLC,3.24,British American Tobacco PLC,3.21,,
F000013LB4,Impax Asset Management Group PLC,3.02,Future PLC,2.68,Bellway PLC,2.51,Clinigen Group PLC,2.05,Oxford Instruments PLC,2.04,RWS Holdings PLC,2.03,Team17 Group PLC,1.98,Mitchells & Butlers PLC,1.96,Gamma Communications PLC,1.91,Watches of Switzerland Group PLC,1.85
F0GBR04SA6,Impax Asset Management Group PLC,3.02,Future PLC,2.68,Bellway PLC,2.51,Clinigen Group PLC,2.05,Oxford Instruments PLC,2.04,RWS Holdings PLC,2.03,Team17 Group PLC,1.98,Mitchells & Butlers PLC,1.96,Gamma Communications PLC,1.91,Watches of Switzerland Group PLC,1.85
